date,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20,node_21,node_22,node_23,node_24,node_25,node_26,node_27,node_28,node_29,node_30,node_31,node_32,node_33,node_34,node_35,node_36,node_37,node_38,node_39,node_40,node_41,node_42,node_43,node_44,node_45,node_46
2023-05-08,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,4,21,0,1,0,0,0,0,1,0,17,0,0,0,0,2,1,0,0,0,0,1,0,2,1,1,0,0,18,0,0
2023-05-15,0,3,0,3,0,0,0,1,0,0,0,0,0,0,1,3,0,7,0,0,0,0,0,0,1,1,16,1,0,0,0,1,1,0,0,0,0,1,0,2,4,0,0,0,12,0,4
2023-05-22,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,5,2,12,0,2,0,0,0,0,2,1,25,0,0,3,0,0,0,0,1,1,0,1,0,0,3,1,0,0,7,0,1
2023-05-29,0,2,3,1,4,0,0,1,0,0,0,0,1,0,2,3,0,19,0,2,0,0,0,0,0,0,11,0,0,7,0,0,0,0,1,0,0,2,0,4,5,1,0,0,7,0,0
2023-06-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,1,12,0,1,0,0,0,0,0,1,12,0,0,1,0,0,1,0,0,0,0,1,0,1,7,0,0,1,12,0,9
2023-06-12,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,5,0,18,0,3,1,0,0,0,0,0,22,0,0,2,0,1,2,1,0,0,0,5,0,0,2,1,0,0,10,0,1
2023-06-19,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,8,1,11,0,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0,1,1,0,9,4,2,8,0,0,0,12,0,3
2023-06-26,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,4,2,2,0,1,0,0,0,1,1,2,14,0,0,1,0,0,0,0,0,0,0,5,0,1,10,0,0,0,7,0,2
2023-07-03,0,2,0,1,1,0,0,1,0,0,0,0,0,0,2,8,3,9,0,2,0,0,0,0,0,0,14,0,0,4,0,0,0,0,1,0,0,6,1,1,9,0,0,0,10,0,2
2023-07-10,2,1,0,3,1,0,0,0,0,0,0,0,0,2,0,10,1,7,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,1,0,2,1,3,2,0,0,1,5,0,2
2023-07-17,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,8,3,15,0,3,0,0,0,0,0,1,4,1,2,0,0,1,0,0,4,0,0,7,3,1,1,0,0,0,4,0,2
2023-07-24,0,2,0,1,2,0,0,0,0,0,0,0,2,0,0,6,2,6,0,1,0,0,0,2,0,0,12,0,0,0,0,0,1,0,0,0,0,4,1,0,1,0,0,0,0,0,0
2023-07-31,1,3,0,2,1,0,0,1,0,0,1,0,0,0,0,19,1,16,0,1,0,0,2,0,0,0,18,0,1,1,0,0,1,0,2,2,0,5,2,1,2,0,0,2,2,0,3
2023-08-07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,17,0,0,1,0,0,1,1,1,9,0,0,0,0,0,1,0,0,0,1,7,2,0,6,0,1,0,4,0,6
